控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中
view_e483dd3105d6f69d4ca07dd704591063.png,3,False,6,10,False,False,False
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,4,True,66,3367,False,True,False
view_67b206a2242cec6e445f84d58dc224bb.png,4,True,305,3367,False,True,False
view_03873cb330123484b28437172d028393.png,4,False,882,3367,False,False,False
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,4,False,1101,3367,False,False,False
view_7a1b78888aaa46a10483e22621f71b9b.png,4,False,1352,3367,False,False,False
view_b0267654008e1a53e50f8c0613a80098.png,4,False,1444,3367,False,False,False
view_8fea87349e5bc20d45bce60c7e81d7b8.png,4,False,1580,3367,False,False,False
view_bb275cd494d93b8e04fdf46f1f22028a.png,4,False,1855,3367,False,False,False
view_8133e2b06f41040bd19fd48348238298.png,4,False,1984,3367,False,False,False
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,4,False,2050,3367,False,False,False
view_33a7a439057d102525c55da9fe1b0ace.png,4,False,2191,3367,False,False,False
view_b856a7325a2f336fdf1c94e6fb3311b6.png,4,False,2244,3367,False,False,False
view_69d0f1bb75ac90746cb81b7943ad209e.png,4,False,2301,3367,False,False,False
view_f8871ea2907e20bc5544bc565dfa262a.png,4,False,2371,3367,False,False,False
view_1b7713bc6b808e56e533c6512cba249f.png,4,False,2507,3367,False,False,False
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,4,False,2711,3367,False,False,False
view_ac28492f1787a95585bf168676e5e07e.png,4,False,2902,3367,False,False,False
view_a32f613e211adbcddeaabd1d5cd7e261.png,4,False,3038,3367,False,False,False
view_17451cae68b18dc9049b8ed6ace00329.png,4,False,3045,3367,False,False,False
view_a25f6186706916f9d65f5bb47b4986f9.png,4,False,3051,3367,False,False,False
view_03e8fb460280409b3541bacb3d73770a.png,4,False,3207,3367,False,False,False
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,4,False,3282,3367,False,False,False
view_c6ff152fa1f117da252ea351460521be.png,17,True,1,6,True,False,False
view_0702af1b9b25fd7f1de5a51d009bf36c.png,21,True,0,22,True,True,True
view_83a89454cfb3eaad6b69218a01725efe.png,21,False,21,22,False,False,False
view_bed672cef70c91b21e0092a3bbffb37b.png,28,True,0,11,True,True,True
view_cb998351b18907c11d8dbd43fff35ea5.png,30,True,2,6,True,False,False
view_7721915c5adce47fc5fb59f6d39733c0.png,52,False,5,10,False,False,False
view_a3bd5f6a4b49068832ef89711954db0e.png,58,False,3,5,False,False,False
view_ca8c093974517c20c9f70b9dd0064138.png,72,False,3,4,False,False,False
view_7d4f42222b3a2e60272f7dbe81828f8f.png,73,True,0,3,True,False,False
view_388d4340422c2e5da6110b736456d4b7.png,82,False,3,5,False,False,False
view_52aab8a65f4106aa0022d30a17056599.png,86,True,2,11,True,False,True
view_6699c5c7b85728194b0e746ce23b8fe9.png,111,False,1,5,False,False,False
view_4d03888ec5acebf863fb8debe4535ffb.png,124,False,5,7,False,False,False
view_e5781695fe273ec9a262860979d49e00.png,131,False,4,6,False,False,False
view_10c848e6af2d7371e7c8063e46ff610c.png,133,True,0,3,True,False,False
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,150,False,2,3,False,False,False
view_453a65384090d62e4aa9582ec6ec5b69.png,167,False,1,3,False,False,False
view_ba27a1df2a40cc2f63697dfc71f86c79.png,170,True,2,14,True,False,True
view_b189627e1375d433fe899275dffd499e.png,186,False,3,5,False,False,False
view_9099969ab4a16a477182d4d0a355d0bc.png,188,False,5,6,False,False,False
view_8f31eb7e5a23c5234243c915c5f14acf.png,228,True,0,4,True,False,False
view_036db19dd3ca2bfe15721c3150990f86.png,236,False,2,3,False,False,False
view_48f72e7fb6e500559fd750d5456ef584.png,238,True,0,4,True,False,False
view_a4264a050fbc1523de3338d64580ba79.png,242,False,1,3,False,False,False
view_2fecd352e53d0f934542a5bfa095083a.png,255,False,2,3,False,False,False
view_6036d6a923e2fc4b26cb85b4324b61fd.png,258,False,1,4,False,False,False
view_a5af5ebb87c06b9e8f612da9c70128a0.png,259,True,0,5,True,True,True
view_4444f0930e2b4efa977efcdbf5337d20.png,295,False,6,7,False,False,False
